post_id, num_friends, num_followers, folfriend_ratio, times_listed, has_url, is_verified, num_posts
651118294447951872,1388,681,0.490634,129,true,false,174924
651115824065830912,1388,681,0.490634,129,true,false,174924
651095856662360065,1174,1094,0.9318569,18,true,false,18233
651086828234104832,1083,655,0.6048015,7,true,false,3397
651034616007106560,379,32,0.08443272,1,true,false,3317
651021070842134528,104,18,0.17307693,3,true,false,10256
651014113536020483,246,26777,108.849594,1986,true,false,167217
651009053464915968,25,75,3.0,10,true,false,2465
650995498887872512,84,83,0.9880952,4,true,false,1686
650994479860686848,491,32925,67.05703,1186,true,false,10510
650982730889564160,11,5,0.45454547,0,true,false,431
650980592226537472,512,405,0.7910156,2,true,false,12098
650979359973593088,306,2107,6.885621,90,true,false,121677
650977262628679680,9,97469,10829.889,900,true,true,8538
650976474191818752,9,97469,10829.889,900,true,true,8538
650976015687282688,40566,46698,1.1511611,126,true,false,24542
650974638328057856,83,439,5.2891564,21,true,false,71545
650971603904385024,892,484,0.54260087,131,true,false,8603
650971571461472256,50,267,5.34,25,true,false,7296
650969555892850689,58,647,11.155172,3,true,false,56371
650968856786243584,606,6573,10.846535,102,true,false,113053
650968638388838400,389,76532,196.74036,673,true,false,35479
650966109554929664,0,2453,0.0,30,true,false,701
650962779017506816,511,21396,41.870842,295,true,false,14319
715439959667261440,25,2,0.08,0,true,false,201
713191025322377216,92,73,0.79347825,12,true,false,13831
712838046027132928,743,806,1.0847914,11,true,false,20897
712733198820704256,328,249,0.75914633,39,true,false,26899
712669942915735554,1576,48935,31.050127,2248,true,true,15653
683988305164267520,2455,2377,0.9682281,7,true,false,4306
683987526344945664,1670,443,0.26526946,7,true,false,4124
683985276709003264,3047,870,0.28552675,27,true,false,7350
683984723908161536,3047,870,0.28552675,27,true,false,7350
683983380153786368,605,280,0.46280992,1,true,false,3327
677147974934376449,4788,1981,0.4137427,6,true,false,9792
677142141555068928,4864,2466,0.50699013,8,true,false,4055
677140137793462272,605,280,0.46280992,1,true,false,3327
677138284053716992,1670,443,0.26526946,7,true,false,4124
677137311432339456,2199,1448,0.6584811,1,true,false,8860
674949610633326593,3,255,85.0,1,true,false,12
674947431658819584,3,255,85.0,1,true,false,12
700050777327411201,492,1894,3.8495934,85,true,false,107306
700023388841078784,174,191,1.0977012,13,true,false,70302
700018178210967552,1042,514,0.49328214,4,true,false,21710
700014680404836352,4473,1081,0.24167226,4,true,false,1847
700025934070546433,12,1728,144.0,86,true,false,5042
700599237776543744,32460,56729,1.7476586,253,true,false,103944
700574696484392960,5315,5078,0.9554092,101,true,false,7054
700567522366455808,5315,5078,0.9554092,101,true,false,7054
700556412003315712,3940,2637,0.66928935,195,true,false,74995
700222417118085120,32460,56729,1.7476586,253,true,false,103944
700203703253495808,1503,323,0.21490353,2,true,false,3062
700203384863907841,32460,56729,1.7476586,253,true,false,103944
700165394372423680,77,82,1.0649351,21,true,false,3258
700150418400120832,3936,4299,1.0922256,71,true,false,10275
700091238419079168,240,598,2.4916666,38,true,false,6876
700062267098857472,20,245,12.25,84,true,false,478799
700060994723307520,805,3889,4.831056,657,true,false,2184105
700057822537650179,17484,20219,1.1564287,255,true,false,1004259
700052460245659650,6964,39378,5.654509,2460,true,false,621560
665333038944002048,448,8052,17.973215,40,true,false,2356
665324167785410560,761,115,0.15111695,2,true,false,1572
665333370205765632,155,139,0.8967742,0,true,false,1704
665326188735295489,204,134,0.65686274,1,true,false,423
665389341141659648,2216,349,0.15749097,6,true,false,1769
665381603913441280,705,622,0.8822695,5,true,false,2174
665325312742322176,940,266,0.2829787,0,true,false,226
665325765299302400,1396,311,0.22277936,6,true,false,172
665589607552163840,124,32,0.2580645,0,true,false,54
665332547413504000,1205,18792,15.59502,62,true,false,7701
665347902189932544,3040,2636,0.86710525,0,true,false,636
665342161660022784,131,60,0.45801526,0,true,false,848
665498340059127808,101,33,0.32673267,1,true,false,413
665333949581754368,367,242,0.6594005,0,true,false,1524
665326062184845312,455,284,0.62417585,6,true,false,5258
665346057719672833,163,84,0.5153374,3,true,false,175
665340728080359424,66,56,0.8484849,0,true,false,669
665312414619926529,81,33,0.4074074,15,true,false,261
665482516975980544,156,138,0.88461536,5,true,false,547
665356539364945920,413,748,1.811138,8,true,false,40133
665327013842960384,1151,469,0.40747178,3,true,false,571
665536779672526849,23,366,15.913043,8,true,false,1646
665326905474818048,2393,5437,2.2720435,17,true,false,7324
665507006497865728,150,178,1.1866666,1,true,false,1078
665363990302715904,71,9,0.12676056,0,true,false,86
665412062194085888,36,8,0.22222222,0,true,false,55
665475238784823296,569,186,0.32688928,5,true,false,436
665342748195741696,1957,372,0.19008687,4,true,false,3550
665535163380719616,114,7,0.06140351,0,true,false,39
665487939141574656,65,16,0.24615385,0,true,false,1150
665493497722642432,78,18,0.23076923,0,true,false,182
665458066406682624,830,1014,1.2216867,3,true,false,2787
