image_filename	post_id	label
boston_01.jpg	324607148313153538	non-tampered
boston_02.jpg	324876776000077824	non-tampered
boston_03.jpg	325004295181316096	non-tampered
boston_04.jpg	325236486381383680	non-tampered
passport_01.jpg	473542222110273536	tampered
passport_02.jpg	476036494574895104	tampered
passport_03.jpg	473280287443804160	tampered
passport_04.jpg	473427931063390208	tampered
pigFish_01.jpg	442700377860104192	tampered
pigFish_02.jpg	443231991593304064	tampered
pigFish_03.jpg	443417736484753408	tampered
sandy_01.jpg	263140494127804418	non-tampered
sandy_02.jpg	263274251723870208	non-tampered
sandy_03.jpg	263552099361628162	non-tampered
sandy_04.jpg	263940477877895169	non-tampered
sandy_05.jpg	262956202764423168	non-tampered
sandy_06.jpg	263002528784977920	non-tampered
sandy_07.jpg	262962324363681792	non-tampered
sandy_08.jpg	263366594707722241	non-tampered
sandy_09.jpg	264923085260591104	non-tampered
sandy_10.jpg	263033093567418369	non-tampered
sandy_11.jpg	263068827041021952	non-tampered
sandy_12.jpg	263059852744613888	non-tampered
sandy_13.jpg	263092704987213824	non-tampered
sandy_14.jpg	263098335756431360	non-tampered
sandy_15.jpg	263133468140109824	non-tampered
sandy_16.jpg	263310329566621696	non-tampered
sandy_17.jpg	263342738525786113	non-tampered
sandy_18.jpg	263355002943328256	non-tampered
sandy_19.jpg	264034439577874432	non-tampered
sandy_20.jpg	264209058679099392	non-tampered
sandy_21.jpg	264293495420882944	non-tampered
sandy_22.jpg	265268073517428736	non-tampered
sandy_23.jpg	265261717435584512	non-tampered
sandy_24.jpg	265121147811667970	non-tampered
sandy_25.jpg	265090552591159296	non-tampered
sandy_26.jpg	262963459124260866	tampered
sandy_27.jpg	262994432939397120	tampered
sandy_28.jpg	262994683960111104	tampered
sandy_29.jpg	262997491337801729	tampered
sandy_30.jpg	263007539225055233	tampered
sandy_31.jpg	263013054151806976	tampered
sandy_32.jpg	263072440534573056	tampered
sandy_33.jpg	263307817807671297	tampered
sandy_34.jpg	263015384263831552	tampered
sandy_35.jpg	263106305319923712	tampered
sandy_36.jpg	263368439069028353	tampered
sandy_37.jpg	263801563728990208	tampered
sandy_38.jpg	263094058275201024	tampered
sandy_39.jpg	263203876247846913	tampered
sandy_40.jpg	263515114030899200	tampered
sandy_41.jpg	265115799914696704	tampered
sandy_42.jpg	263191299019120640	tampered
sandy_43.jpg	263848778048614400	tampered
sandy_44.jpg	264381593311924225	tampered
sandy_45.jpg	264422267268759553	tampered
sandy_46.jpg	264891177285861376	tampered
sandy_47.jpg	264736293571928065	tampered
sandy_48.jpg	265220030462042113	tampered
samuraiGirl_01.jpg	592002690047090689	tampered
elephant_01.jpg	449204205585063936	tampered
elephant_02.jpg	449262223656226817	tampered
nepal_01.jpg	594256174897176576	non-tampered
nepal_02.jpg	594222594917707777	non-tampered
nepal_03.jpg	593094580008026112	non-tampered
nepal_04.jpg	591888485226713088	non-tampered
