tweet_id, num_friends, num_followers, folfriend_ratio, times_listed, has_url, is_verified, num_tweets
324557656482271232,563,747,1.3268206,41,true,false,6467
324558591690424322,625,755,1.208,41,false,false,3119
324568758234521600,403,326,0.808933,35,true,false,4033
324850550954930176,1379,400,0.29006526,4,true,false,11831
324533353623724032,296,1146,3.8716216,34,false,false,72532
324581847541628928,1088,1129,1.0376838,13,false,false,6786
325149579282640896,33,29,0.8787879,0,true,false,1743
325077806201593857,624,333,0.53365386,4,true,false,14659
325152550556925952,1393,1061,0.76166546,72,true,false,28053
324561185485758464,218,150,0.6880734,2,true,false,10333
324623991107112960,127,181,1.4251969,5,true,false,573
324612897936375809,174,175,1.0057471,1,false,false,7214
325004295181316096,9,8,0.8888889,0,false,false,150
324585690157428736,147,130,0.88435376,4,false,false,2339
324551861426348033,497,3982,8.012073,1,true,false,19435
324593912528400384,115,90,0.7826087,4,false,false,870
324627453190475776,434,186,0.42857143,3,false,false,1130
324627017486188544,47,20,0.42553192,0,true,false,56
325157291395543040,188,97,0.5159575,1,false,false,2688
325177553713238016,249,128,0.5140562,0,false,false,1442
325157607427948544,1991,646,0.32446006,7,true,false,2812
324574648492752896,327,600,1.8348624,26,true,false,16352
324519561577762818,164,56,0.34146342,0,true,false,519
324599027293372417,44,48,1.0909091,0,false,false,2111
324596948969603073,301,295,0.9800664,0,false,false,9064
325042121499365376,302,195,0.6456954,10,false,false,13723
324554636923125761,599,611,1.0200334,14,true,false,67828
324638323316506624,1926,1031,0.53530633,41,true,false,527
325146251190472704,1556,760,0.48843187,18,true,false,16315
325159845764415488,490,172,0.3510204,1,false,false,2766
325150935364022272,789,8751,11.091255,446,false,false,101198
325164356943900672,296,485,1.6385136,16,true,false,2859
324573369095831552,63,48,0.7619048,2,false,false,1805
324508845353349120,2140,3642,1.7018691,178,true,false,95146
324505971017785344,1015,713,0.70246303,35,true,false,28917
324475416893091840,420,375,0.89285713,11,true,false,45475
324573102723981314,265,10875,41.037735,1162,true,false,56492
324552680838156290,296,1217,4.1114864,5,false,false,35467
324536663495811072,356,93,0.26123595,0,false,false,2397
324513161904537601,1339,161,0.12023898,1,false,false,2021
324501940329394178,376,37,0.09840426,1,false,false,440
324531787931996160,2049,2549,1.2440214,247,true,false,104655
324584196586737664,57,71,1.245614,0,false,false,848
324625688244142080,339,16313,48.120945,15,false,false,74613
324578733061193728,311,566,1.8199357,18,false,false,20867
324521785569710080,582,224,0.38487974,2,true,false,709
324595989090562048,450,281,0.6244444,13,true,false,6044
324581928542031872,1158,495,0.42746115,7,false,false,50162
324588779635605506,376,785,2.087766,29,false,false,23892
324523400280305664,618,655,1.0598706,30,true,false,7419
324577256888496129,13951,21152,1.5161637,509,true,false,20544
324610085882044416,3294,3760,1.1414694,14,false,false,3569
324617563243958272,450,26778,59.506668,905,true,false,63524
324609009799794689,55,53,0.96363634,0,false,false,4451
324876776000077824,19879,19878,0.9999497,147,false,false,8252
324924246843346945,1998,402,0.2012012,0,false,false,2478
324895544176693250,309,851,2.7540452,0,false,false,7872
324622319114932224,17886,17815,0.9960304,161,true,false,17718
324627749266419712,576,408,0.7083333,2,false,false,5262
324612286327177216,1040,7899,7.5951924,135,true,false,6575
324628936522866688,389,187,0.4807198,11,false,false,860
325217425295568896,140,54,0.3857143,0,false,false,1230
324579998524661760,79,314,3.9746835,6,true,false,17514
325082497417359363,8122,15024,1.8497907,465,true,false,28763
324694897301016577,166,81,0.48795182,3,false,false,5730
325695542875258881,17,417,24.529411,13,false,false,30995
324585727109234688,2344,21484,9.165529,218,true,false,15228
325392508685266945,103,212,2.0582523,2,false,false,4389
324532372479541249,391,92,0.23529412,1,true,false,278
325034100215910400,337,57,0.16913946,0,true,false,2248
325062042342027264,227,198,0.8722467,0,false,false,2865
324547942100914176,597,2883,4.829146,183,true,false,56909
325206482457083904,35,14,0.4,0,false,false,52
325353056017473536,309,628,2.0323625,8,false,false,1065
325153259847303168,399,8801,22.057644,170,true,false,158859
324849780708745216,61,29,0.47540984,0,true,false,100
325308244912402432,918,6262,6.8213506,14,true,false,22133
324798038105272320,66,30,0.45454547,1,true,false,145
324521381385625601,301,203,0.6744186,1,false,false,12613
325121564309856257,804,1068,1.3283582,31,true,false,12690
325423566889816066,689,596,0.86502177,22,true,false,53921
325201250603905024,506,313,0.61857706,0,true,false,11168
324173097307615234,795,401,0.5044025,0,false,false,14156
325073678465368065,286,1590,5.5594406,39,true,false,10144
324843084997341184,7391,24035,3.251928,1150,true,false,177549
324771811508240385,1713,2066,1.2060713,149,true,false,8524
324582851939012608,280,131,0.46785715,3,true,false,894
324584780928806912,845,1096,1.2970414,17,true,false,35226
324504112001597443,82,28,0.34146342,0,false,false,797
325173128491851776,215,159,0.73953485,0,false,false,5660
325145935007068161,476,290,0.6092437,7,true,false,4089
324559423441879042,175,139,0.7942857,4,true,false,1767
324325848352161792,538,79,0.14684016,1,false,false,4306
324789744192065536,311,174,0.55948555,1,true,false,12180
324572177020116992,804,1479,1.8395523,99,true,false,10379
324590475413696512,1725,1732,1.004058,62,true,false,2976
324590308845301760,1179,1116,0.9465649,51,false,false,10013
324629642151591936,461,271,0.5878525,10,false,false,3436
325154445354758144,433,3441,7.9468822,40,false,false,46837
324517112234270720,315,331,1.0507936,8,true,false,15607
324999947592294400,674,1261,1.8709198,71,true,false,77359
325236486381383680,515,281,0.54563105,3,false,false,3881
324590719153094659,296,398,1.3445946,1,false,false,6719
324582306511728640,2015,2760,1.369727,130,true,false,11501
324526695531040769,197,195,0.9898477,11,true,false,3241
324578933427302401,1549,1136,0.7333764,62,true,false,17278
325030184199811072,0,109,0.0,0,false,false,12870
325307612050640897,424,124,0.29245284,0,true,false,14307
324569471253630976,667,726,1.0884558,43,true,false,10163
325135810326327296,357,817,2.2885153,29,true,false,12335
324527935413436416,823,177,0.21506684,2,true,false,10873
325264870591299585,202,118,0.5841584,1,false,false,4901
324583175953215489,165,70,0.42424244,4,true,false,626
324572829230178305,706,2071,2.9334278,140,false,false,78615
325148067336683521,357,136,0.3809524,1,false,false,4439
324996041285980160,429,183,0.42657343,5,true,false,8656
324611966758957056,168,110,0.6547619,0,false,false,6888
325166355747835906,54,578,10.703704,24,true,false,22068
324526766481870848,95,214,2.2526317,0,false,false,3932
325233605964070913,173,97,0.5606936,8,true,false,1382
325047131905871872,122,282,2.3114755,0,true,false,18030
324551203562344449,553,724,1.3092225,18,false,false,53484
324674672413270016,39,14,0.35897437,0,false,false,62
324389467345522688,4326,4048,0.93573743,146,true,false,69745
325431243183370241,418,447,1.069378,18,true,false,5115
324512492011278337,804,370,0.460199,10,true,false,8332
325265059897024512,1,147,147.0,11,true,false,8649
325085389582901250,46,41,0.8913044,0,false,false,521
325256788201066500,38,126,3.3157895,2,true,false,1466
324587251503886336,501,355,0.7085828,5,false,false,21167
324565662339059712,138,39,0.2826087,1,false,false,429
324361628353191937,313,64,0.20447284,0,false,false,2097
324740982576914435,831,2591,3.1179302,146,true,false,45694
324330330108612608,538,79,0.14684016,1,false,false,4308
325170782131073024,777,804,1.034749,45,true,false,15510
324528633463050241,357,79,0.22128852,4,false,false,987
324607148313153538,851,588,0.6909518,3,true,false,16943
324537751934484480,180,177,0.98333335,3,false,false,19281
324338610465816576,95,21,0.22105263,0,false,false,701
325490517725028353,295,180,0.6101695,5,false,false,2359
324798280787714048,127,135,1.0629921,2,true,false,3012
325135832207990784,1982,410,0.20686175,4,true,false,10459
324522267973402624,613,614,1.0016314,15,true,false,14318
324468904128806912,588,268,0.45578232,6,false,false,1775
324590974753976320,355,364,1.0253521,1,true,false,16795
324710785773363200,492,286,0.5813008,4,false,false,10537
324991612025462784,0,10,0.0,0,true,false,70
325051229791203328,1256,2226,1.772293,107,true,false,3226
324620538465120256,68,51,0.75,0,false,false,451
324845303566065664,201,1430,7.114428,1,false,false,8094
324676674442629120,154,453,2.9415584,24,false,false,6974
325226222235828226,249,738,2.9638555,14,false,false,63514
324383323097022464,1,41,41.0,0,true,false,349
325149501813837824,1078,456,0.42300555,19,true,false,4937
325361625869717505,489,1006,2.0572598,25,false,false,26263
324930742041866242,21,0,0.0,0,true,false,1
324128489244614656,96,75,0.78125,0,true,false,3411
324642477577494530,259,92,0.35521236,1,true,false,1438
325243838518149120,154,88,0.5714286,1,true,false,1121
324936511160213505,376,603,1.6037234,0,true,false,2300
324569472952320003,461,107,0.23210412,2,true,false,920
324874410374877185,226,652,2.8849556,10,true,false,20229
324356688272560128,1,673,673.0,3,true,false,397
324631982518726656,81,30,0.37037036,0,false,false,476
324333359356579841,1079,689,0.6385542,84,false,false,13176
325064824306429953,194,9130,47.061855,1,true,false,30234
324979270248173568,4627,112521,24.318348,1683,true,false,194161
324513597852098561,1998,482,0.24124125,1,false,false,4841
324267996044460035,772,705,0.9132124,4,true,false,3711
324545148908363777,127,154,1.2125984,0,false,false,14658
324435205433724929,920,1095,1.1902174,12,true,false,11390
324635274887970816,62,152,2.451613,11,true,false,1581
324510098259050496,65,75,1.1538461,1,true,false,939
324558285225209857,296,1147,3.875,34,false,false,72563
324580144478048258,526,545,1.0361217,9,false,false,2626
324604457847488512,240,47,0.19583334,0,true,false,679
324498279700234240,420,65,0.15476191,0,true,false,1425
325101127043534850,739,766,1.0365359,2,true,false,10537
324637464927039488,519,3273,6.3063583,75,false,false,2085
325705653026975744,1982,1528,0.77093846,39,true,false,19365
325099014355820544,529,2434,4.6011343,43,true,false,6881
325464125868216321,78,25,0.32051283,4,false,false,991
324665423956176896,332,204,0.61445785,9,false,false,14932
324581777614180352,95,210,2.2105262,1,false,false,3105
324315545572896768,61,60,0.9836066,0,false,false,816
324554646976868352,546,297,0.54395604,4,true,false,2049
325152091423248385,576,649,1.1267362,28,true,false,8313
325145334739267584,565,271,0.47964603,11,false,false,11972
324597532548276224,1445,634,0.43875432,1,true,false,903
442479215137808384,858,953,1.1107227,1,false,false,21663
442553774876262400,225,229,1.0177778,0,true,false,1987
442458901401718785,1060,634,0.5981132,0,true,false,5288
442345505264111616,110,99,0.9,0,false,false,317
442545133397897216,180,261,1.45,0,false,false,2272
442507318215716865,220,305,1.3863636,0,false,false,20360
442355276818042880,269,315,1.1710037,0,true,false,19758
442509527959601152,1280,1176,0.91875,0,false,false,31952
442867434408529920,1121,1219,1.0874219,2,true,false,32398
442474490610450432,175,126,0.72,0,false,false,4599
442695393286295553,283,479,1.6925795,0,false,false,47337
442519059146366977,55,36,0.6545454,0,false,false,1149
442583309240270848,334,116,0.3473054,0,true,false,5814
442581593488498690,325,539,1.6584616,0,false,false,28532
442341795616149504,199,430,2.160804,0,false,false,37007
442353545996533760,16286,17792,1.0924721,4,true,false,53670
442371205023035393,299,290,0.96989965,0,false,false,10200
442491915905138690,356,451,1.2668539,0,false,false,13208
442531582620876800,40,104,2.6,0,true,false,338
442587001196257280,218,294,1.3486239,0,false,false,18607
442521596993875968,415,1424,3.4313252,0,true,false,20443
442630339689578496,140,180,1.2857143,0,false,false,5983
442608688226775040,202,364,1.8019803,0,false,false,2904
442501465358102529,201,77,0.38308457,0,false,false,250
442496619804520448,1135,491,0.43259913,0,false,false,9013
442611549115408385,169,236,1.3964497,0,false,false,3732
442648782207873024,175,343,1.96,0,false,false,43365
442511242171662336,305,358,1.1737705,0,false,false,4753
442456031499542530,1999,903,0.45172587,0,true,false,14150
442541340652343296,323,193,0.5975232,0,true,false,1930
442492756326248449,279,540,1.9354838,1,false,false,28821
442514838904770561,180,223,1.2388889,0,false,false,19728
442524685582884865,40,37,0.925,0,false,false,328
442473530584625152,145,127,0.87586206,1,true,false,6347
443027270551101440,1166,1028,0.88164663,0,false,false,21634
442383783497453568,132,71,0.5378788,0,true,false,9635
442363154316554240,386,230,0.59585494,0,false,false,212
442347231757090816,189,871,4.6084657,10,false,false,36954
448218739008212992,494,769,1.5566802,0,false,false,26644
450769224772771840,469,1057,2.2537313,0,true,false,10239
446205814240321536,265,71,0.26792452,0,false,false,1763
444967004487684096,554,345,0.62274367,12,true,false,14839
446240715459137536,87,76,0.87356323,3,false,false,1610
446746569501466624,194,225,1.1597939,2,true,false,3990
443017113804873728,320,374,1.16875,2,true,false,41373
446490995169845248,425,220,0.5176471,0,true,false,11897
445994558028271617,172,19,0.11046512,1,false,false,413
442499489161433088,300,373,1.2433333,0,true,false,11267
442516824597360640,40,9,0.225,0,false,false,21
442859011562405888,609,126,0.20689656,0,false,false,24521
447397249757093888,2001,1292,0.64567715,2,false,false,20058
